rank_univariate_f1,feature,group,mi,f_stat,p_value,pearson_corr,univariate_f1
275,"ud__NOUN(DET/det, *, ADJ/amod, VERB/acl)",enhanced_ud,0.033172,191.7889,3.9234e-43,0.1507,0.477416
276,nilc__anaphoric_refs,nilc,0.019329,29.3038,6.3613e-08,-0.0595,0.476847
277,liwc__death (Death),liwc,0.036641,53.8908,2.3211e-13,-0.0806,0.474978
278,nilc__oblique_pronouns_ratio,nilc,0.011464,31.3163,2.2625e-08,-0.0615,0.474694
279,nilc__subjunctive_future_ratio,nilc,0.019912,132.1833,2.3222e-30,-0.1256,0.472798
280,nilc__max_noun_phrase,nilc,0.086626,14.9171,1.1320e-04,0.0425,0.470891
281,"ud__NOUN(NUM/nummod, *)",enhanced_ud,0.027826,141.5142,2.2826e-32,-0.1299,0.470174
282,"ud__NOUN(ADP/case, *)",enhanced_ud,0.093811,11.8233,5.8784e-04,-0.0378,0.466984
283,pos__DET,pos_tagger,0.061029,10.6185,1.1241e-03,0.0359,0.466161
284,"ud__VERB(SCONJ/mark, NOUN/nsubj, *, VERB/xcomp)",enhanced_ud,0.042150,139.2151,7.1246e-32,0.1288,0.466018
285,sage__diz_que,sage_terms,0.014510,279.9570,7.9644e-62,-0.1812,0.461845
286,pos__SYM,pos_tagger,0.029296,43.4772,4.5532e-11,-0.0724,0.461839
287,liwc__relig (Religion),liwc,0.030550,38.4420,5.9118e-10,-0.0681,0.459607
288,nilc__pronouns_standard_deviation,nilc,0.125367,6.4399,1.1177e-02,-0.0279,0.459371
289,"ud__ADV(ADP/case, *)",enhanced_ud,0.022072,110.0490,1.3846e-25,-0.1147,0.458674
290,"ud__PRON(*, VERB/acl:relcl)",enhanced_ud,0.018864,200.6546,5.0552e-45,-0.1541,0.458379
291,"ud__NUM(PUNCT/punct, *, PUNCT/punct)",enhanced_ud,0.039626,54.7030,1.5394e-13,-0.0812,0.457376
292,liwc__home (Home),liwc,0.041818,31.6479,1.9085e-08,-0.0618,0.455550
293,"ud__VERB(ADP/mark, *, NOUN/obl)",enhanced_ud,0.021105,37.3501,1.0320e-09,-0.0671,0.453473
294,"ud__NUM(ADV/advmod, *)",enhanced_ud,0.022290,30.6638,3.1627e-08,-0.0609,0.453194
295,"ud__ADV(*, NOUN/obl)",enhanced_ud,0.025767,32.2778,1.3817e-08,-0.0624,0.452397
296,nilc__std_noun_phrase,nilc,0.075683,8.1426,4.3345e-03,-0.0314,0.449817
297,"ud__NOUN(DET/det, DET/det, *)",enhanced_ud,0.025336,82.5690,1.2592e-19,-0.0996,0.449730
298,liwc__adverb (Adverbs),liwc,0.104897,5.4343,1.9769e-02,0.0257,0.449078
299,liwc__nonflu (Nonfluencies),liwc,0.033384,263.3586,2.5309e-58,-0.1759,0.448591
300,"ud__NOUN(ADP/case, DET/det, DET/det, *)",enhanced_ud,0.018568,60.4299,8.5433e-15,-0.0853,0.444425
301,nilc__log_pos_conn_ratio,nilc,0.118409,4.6374,3.1311e-02,0.0237,0.443390
302,liwc__article (Articles),liwc,0.081396,7.3324,6.7863e-03,-0.0298,0.442041
303,"ud__VERB(CCONJ/cc, *)",enhanced_ud,0.016637,53.4267,2.9352e-13,-0.0802,0.441684
304,"ud__NOUN(ADP/case, DET/det, *, VERB/acl:relcl)",enhanced_ud,0.029953,40.9032,1.6867e-10,-0.0702,0.441433
305,"ud__NOUN(PUNCT/punct, *, NOUN/nmod)",enhanced_ud,0.025685,74.9573,5.7229e-18,-0.0949,0.441086
306,liwc__family (Family),liwc,0.063591,8.8248,2.9803e-03,-0.0327,0.439963
307,"ud__PRON(*, PRON/fixed)",enhanced_ud,0.017260,14.8518,1.1718e-04,-0.0424,0.439804
308,"ud__VERB(PUNCT/punct, *, NOUN/obl, PUNCT/punct)",enhanced_ud,0.030397,213.3111,1.0230e-47,0.1588,0.438801
309,ud__*(PROPN),enhanced_ud,0.011756,79.1837,6.8684e-19,-0.0975,0.437701
310,"ud__VERB(ADP/mark, *)",enhanced_ud,0.021809,66.1795,4.7165e-16,-0.0892,0.437094
311,"ud__ADV(*, SCONJ/fixed)",enhanced_ud,0.008022,86.5597,1.7077e-20,-0.1019,0.435492
312,nilc__adjectives_ambiguity,nilc,0.223695,6.6188,1.0108e-02,0.0283,0.432414
313,"ud__VERB(*, NOUN/obj, PUNCT/punct)",enhanced_ud,0.010753,90.0624,2.9616e-21,-0.1039,0.431602
314,"ud__NOUN(ADP/case, *, PROPN/nmod)",enhanced_ud,0.039308,4.4541,3.4847e-02,-0.0232,0.431265
315,"ud__NOUN(ADP/case, NUM/nummod, *)",enhanced_ud,0.033576,8.3060,3.9617e-03,-0.0317,0.430259
316,"ud__VERB(PRON/nsubj, *, NOUN/obl)",enhanced_ud,0.013432,41.6289,1.1657e-10,-0.0709,0.429979
317,"ud__VERB(CCONJ/cc, *, VERB/xcomp)",enhanced_ud,0.015928,30.6952,3.1121e-08,-0.0609,0.429192
318,ud__*(PRON),enhanced_ud,0.018987,178.8485,2.2728e-40,-0.1457,0.428503
319,"ud__NOUN(PUNCT/punct, *, PUNCT/punct)",enhanced_ud,0.014207,84.7714,4.1794e-20,-0.1009,0.428459
320,"ud__VERB(*, NOUN/obj, NOUN/obl)",enhanced_ud,0.038110,4.7041,3.0119e-02,-0.0239,0.427953
321,"ud__VERB(*, VERB/ccomp)",enhanced_ud,0.022330,38.4176,5.9857e-10,-0.0681,0.427697
322,"ud__NOUN(ADP/case, *, NOUN/nmod, PUNCT/punct)",enhanced_ud,0.029330,103.1898,4.2202e-24,-0.1112,0.427391
323,"ud__NOUN(ADP/case, DET/det, *, NUM/nmod)",enhanced_ud,0.012544,12.1223,5.0080e-04,-0.0383,0.426531
324,"ud__VERB(PROPN/nsubj, *, NOUN/obj, PUNCT/punct)",enhanced_ud,0.021963,10.0921,1.4945e-03,-0.0350,0.425942
325,"ud__NOUN(NUM/nummod, *, NOUN/nmod)",enhanced_ud,0.014302,50.0006,1.6625e-12,-0.0776,0.424120
326,"ud__ADV(PUNCT/punct, *, PUNCT/punct)",enhanced_ud,0.016245,75.2301,4.9905e-18,-0.0951,0.421422
327,ud__CCONJ(*),enhanced_ud,0.090987,5.5881,1.8106e-02,0.0260,0.420574
328,nilc__and_ratio,nilc,0.103469,3.8956,4.8445e-02,-0.0217,0.418725
329,"ud__VERB(NOUN/nsubj, *, VERB/xcomp, PUNCT/punct)",enhanced_ud,0.023478,20.6744,5.5215e-06,-0.0500,0.418516
330,"ud__NUM(*, NOUN/nmod)",enhanced_ud,0.010496,40.3989,2.1805e-10,-0.0698,0.418492
331,"ud__VERB(CCONJ/cc, *, VERB/ccomp)",enhanced_ud,0.015741,53.8314,2.3919e-13,-0.0805,0.418214
332,"ud__ADV(*, NUM/appos)",enhanced_ud,0.010908,188.7548,1.7418e-42,-0.1496,0.417110
333,sage__se_voce,sage_terms,0.012985,209.2851,7.3497e-47,-0.1573,0.416652
334,"ud__NOUN(ADP/case, *, ADJ/amod, PUNCT/punct)",enhanced_ud,0.027015,285.7489,4.7960e-63,0.1830,0.416270
335,"ud__VERB(SCONJ/mark, PRON/nsubj, *, VERB/xcomp, PUNCT/punct)",enhanced_ud,0.021120,181.2710,6.9013e-41,-0.1466,0.416030
336,"ud__PRON(ADP/case, *, VERB/acl:relcl)",enhanced_ud,0.016427,37.4001,1.0059e-09,-0.0672,0.415959
337,"ud__VERB(CCONJ/cc, *, NOUN/obl)",enhanced_ud,0.006265,42.0015,9.6436e-11,-0.0712,0.415848
338,nilc__postponed_subject_ratio,nilc,0.104683,2.8801,8.9716e-02,-0.0187,0.415845
339,sage__segundo_fontes,sage_terms,0.029498,498.5423,2.8411e-107,0.2387,0.415362
340,ud__INTJ(*),enhanced_ud,0.015157,121.3230,5.0879e-28,-0.1204,0.415038
341,"ud__VERB(SCONJ/mark, *, NOUN/obj)",enhanced_ud,0.011254,49.3504,2.3110e-12,-0.0771,0.414927
342,sage__org_entre,sage_terms,0.012652,218.4293,8.3530e-49,-0.1606,0.414653
343,sage__uma_sugestao,sage_terms,0.012420,218.4293,8.3530e-49,-0.1606,0.414653
344,sage__quiser_sugerir,sage_terms,0.018285,214.8085,4.9144e-48,-0.1593,0.414653
345,"ud__SYM(ADP/case, DET/det, *)",enhanced_ud,0.013784,162.2323,8.1682e-37,-0.1389,0.414653
346,sage__voce_quiser,sage_terms,0.026369,213.7023,8.4467e-48,-0.1589,0.414653
347,sage__entre_em,sage_terms,0.017651,185.5315,8.4922e-42,-0.1483,0.414581
348,sage__sugerir_um,sage_terms,0.015551,211.9053,2.0364e-47,-0.1583,0.414386
349,sage__pelo_site,sage_terms,0.008335,158.0795,6.3414e-36,-0.1371,0.414119
350,sage__em_contato,sage_terms,0.008619,176.7477,6.3916e-40,-0.1448,0.414045
351,nilc__second_person_pronouns,nilc,0.003357,11.3103,7.7430e-04,-0.0370,0.413854
352,"ud__PUNCT(*, PUNCT/punct, PUNCT/punct)",enhanced_ud,0.018150,170.6721,1.2736e-38,-0.1424,0.413651
353,sage__esse_artigo,sage_terms,0.013523,209.1192,7.9719e-47,-0.1572,0.413651
354,sage__boatos_org,sage_terms,0.016032,177.2583,4.9712e-40,-0.1450,0.413385
355,sage__gente_pelo,sage_terms,0.003644,207.5843,1.6912e-46,-0.1567,0.411642
356,sage__um_tema,sage_terms,0.017271,200.5966,5.2012e-45,-0.1541,0.411319
357,"ud__VERB(*, NOUN/obj, SYM/obl)",enhanced_ud,0.010198,162.9179,5.8243e-37,-0.1392,0.410848
358,"ud__VERB(*, VERB/xcomp)",enhanced_ud,0.008685,25.5219,4.4677e-07,-0.0555,0.409453
359,liwc__sexual (Sexual),liwc,0.008081,19.9922,7.8798e-06,-0.0492,0.408856
360,"ud__NOUN(ADP/case, DET/det, *, NOUN/conj, NOUN/conj)",enhanced_ud,0.007593,146.0538,2.4150e-33,-0.1319,0.408574
361,sage__whatsapp_no,sage_terms,0.013630,169.0914,2.7754e-38,-0.1417,0.408354
362,"ud__VERB(PRON/obj, *)",enhanced_ud,0.008832,41.6948,1.1273e-10,-0.0709,0.408178
363,"ud__PROPN(PUNCT/punct, *, PROPN/flat:name)",enhanced_ud,0.010378,6.4598,1.1052e-02,-0.0280,0.407906
364,"ud__NOUN(ADP/case, DET/det, *, NOUN/nmod, NOUN/nmod)",enhanced_ud,0.027707,32.2174,1.4252e-08,-0.0624,0.407351
365,"ud__NOUN(ADP/case, DET/det, *, NOUN/nmod, PUNCT/punct)",enhanced_ud,0.013410,12.5704,3.9407e-04,-0.0390,0.407333
366,"ud__NOUN(PUNCT/punct, DET/det, *)",enhanced_ud,0.002840,81.7742,1.8750e-19,-0.0991,0.407202
367,"ud__PRON(*, ADJ/amod)",enhanced_ud,0.005830,26.0577,3.3878e-07,-0.0561,0.407090
368,sage__no_telefone,sage_terms,0.015985,162.0329,9.0127e-37,-0.1388,0.406820
369,"ud__VERB(CCONJ/cc, *, NOUN/obj, NOUN/obl)",enhanced_ud,0.005738,3.4369,6.3792e-02,-0.0204,0.406794
370,ud__SCONJ(*),enhanced_ud,0.098602,3.1877,7.4233e-02,-0.0197,0.406731
371,sage__telefone_61,sage_terms,0.020867,180.4224,1.0477e-40,-0.1463,0.406590
372,liwc__ipron (Impersonal Pronouns),liwc,0.101141,3.0660,7.9985e-02,0.0193,0.406297
373,sage__sugestao_de,sage_terms,0.006573,174.1741,2.2693e-39,-0.1438,0.405574
374,sage__site_facebook,sage_terms,0.006859,178.9167,2.1978e-40,-0.1457,0.405574
375,"ud__VERB(*, VERB/xcomp, PUNCT/punct)",enhanced_ud,0.007511,54.9118,1.3852e-13,-0.0813,0.405158
376,"ud__NOUN(*, NOUN/nmod, PUNCT/punct)",enhanced_ud,0.004508,60.3692,8.8091e-15,-0.0852,0.405083
377,"ud__NOUN(*, NOUN/nmod, NOUN/nmod)",enhanced_ud,0.014358,21.4459,3.6953e-06,-0.0509,0.404632
378,"ud__ADJ(PUNCT/punct, *, NOUN/obl, PUNCT/punct)",enhanced_ud,0.034952,303.0463,1.1016e-66,0.1883,0.404125
379,"ud__VERB(*, NOUN/obl, PUNCT/punct)",enhanced_ud,0.012468,34.0866,5.4709e-09,-0.0642,0.403808
380,"ud__NOUN(DET/det, *, PRON/nmod)",enhanced_ud,0.012617,48.4460,3.6550e-12,-0.0764,0.403650
381,sage__ao_boatos,sage_terms,0.017161,167.0789,7.4835e-38,-0.1409,0.403538
382,ud__SYM(*),enhanced_ud,0.023847,4.5565,3.2824e-02,-0.0235,0.403320
383,"ud__ADJ(PUNCT/punct, *)",enhanced_ud,0.008016,59.4104,1.4288e-14,-0.0846,0.403035
384,"ud__VERB(*, PUNCT/punct)",enhanced_ud,0.011878,122.5768,2.7295e-28,-0.1210,0.403005
385,"ud__NOUN(ADP/case, *, PROPN/nmod, PUNCT/punct)",enhanced_ud,0.014049,77.5407,1.5655e-18,-0.0965,0.401677
386,sage__tema_ao,sage_terms,0.014952,161.4935,1.1761e-36,-0.1386,0.401496
387,"ud__NOUN(*, VERB/acl:relcl)",enhanced_ud,0.021238,20.3004,6.7098e-06,-0.0496,0.401292
388,nilc__lsa_paragraph_mean,nilc,0.374922,34.1993,5.1641e-09,0.0643,0.401142
389,"ud__PRON(DET/det, *)",enhanced_ud,0.000000,61.5220,4.9259e-15,-0.0860,0.400959
390,pos__SCONJ,pos_tagger,0.112665,2.8383,9.2079e-02,-0.0185,0.400959
391,sage__ps_esse,sage_terms,0.010166,155.3035,2.4973e-35,-0.1359,0.400472
392,ud__*(ADV),enhanced_ud,0.013889,117.4646,3.4613e-27,-0.1185,0.400199
393,"ud__NOUN(*, PUNCT/punct)",enhanced_ud,0.000000,8.3316,3.9062e-03,-0.0318,0.400143
394,"ud__VERB(*, PRON/obj)",enhanced_ud,0.003514,41.0275,1.5832e-10,-0.0704,0.399069
395,"ud__VERB(VERB/ccomp:speech, *, NOUN/nsubj, PUNCT/punct)",enhanced_ud,0.018015,2.5407,1.1098e-01,-0.0175,0.398854
396,nilc__min_noun_phrase,nilc,0.000000,41.4003,1.3095e-10,-0.0707,0.398430
397,"ud__VERB(*, ADV/advmod)",enhanced_ud,0.004081,13.3124,2.6528e-04,-0.0401,0.398377
398,"ud__NOUN(ADP/case, DET/det, *, PROPN/nmod, PROPN/nmod)",enhanced_ud,0.009977,5.8381,1.5705e-02,-0.0266,0.398352
399,"ud__VERB(PUNCT/punct, *)",enhanced_ud,0.011844,72.9738,1.5493e-17,-0.0936,0.397651
400,"ud__NOUN(ADP/case, NUM/nummod, *, NOUN/nmod)",enhanced_ud,0.013115,9.5609,1.9943e-03,-0.0340,0.397529
401,"ud__NOUN(ADP/case, *, NOUN/nmod, NOUN/nmod)",enhanced_ud,0.017932,9.6049,1.9471e-03,-0.0341,0.397411
402,pos__INTJ,pos_tagger,0.012407,81.4972,2.1541e-19,-0.0989,0.397152
403,"ud__VERB(ADP/mark, *, VERB/xcomp)",enhanced_ud,0.010941,14.0773,1.7665e-04,-0.0413,0.396758
404,"ud__VERB(PROPN/nsubj, *, VERB/xcomp, PUNCT/punct)",enhanced_ud,0.018985,53.6948,2.5630e-13,-0.0804,0.396469
405,"ud__VERB(PRON/nsubj, *, NOUN/obj, NOUN/obl)",enhanced_ud,0.005503,13.6467,2.2205e-04,-0.0406,0.396065
406,"ud__NOUN(PUNCT/punct, *, ADJ/amod)",enhanced_ud,0.006482,26.6623,2.4796e-07,-0.0568,0.395917
407,"ud__NOUN(*, NUM/nmod)",enhanced_ud,0.005072,59.8344,1.1537e-14,-0.0849,0.395359
408,"ud__ADJ(PUNCT/punct, *, PUNCT/punct)",enhanced_ud,0.001713,4.5291,3.3353e-02,-0.0234,0.395205
409,sage__ou_seja,sage_terms,0.007369,121.6328,4.3623e-28,-0.1206,0.394292
410,"ud__NOUN(ADP/case, DET/det, *, ADV/advmod)",enhanced_ud,0.000087,49.9270,1.7256e-12,-0.0776,0.393850
411,liwc__bio (Biological Processes),liwc,0.094625,1.6751,1.9561e-01,-0.0142,0.393598
412,"ud__PROPN(PUNCT/punct, ADP/case, DET/det, *)",enhanced_ud,0.005963,19.5086,1.0143e-05,-0.0486,0.392790
413,"ud__PRON(ADP/case, *, PRON/fixed)",enhanced_ud,0.014760,59.4071,1.4312e-14,-0.0846,0.392583
414,nilc__pronouns_min,nilc,0.008914,76.2424,3.0028e-18,-0.0957,0.392544
415,"ud__NOUN(PUNCT/punct, ADP/case, DET/det, *)",enhanced_ud,0.002189,58.0965,2.7728e-14,-0.0836,0.391822
416,"ud__NOUN(ADP/case, DET/det, NUM/nummod, *)",enhanced_ud,0.009426,12.6542,3.7683e-04,-0.0391,0.391610
417,"ud__VERB(ADP/mark, *, PRON/obj)",enhanced_ud,0.004646,3.9916,4.5760e-02,-0.0220,0.391461
418,"ud__VERB(AUX/aux:pass, *, NOUN/obl)",enhanced_ud,0.004552,13.7587,2.0922e-04,-0.0408,0.391109
419,"ud__NOUN(ADP/case, *, NOUN/conj, NOUN/conj)",enhanced_ud,0.005304,17.7157,2.5923e-05,-0.0463,0.390826
420,"ud__NOUN(ADP/case, DET/det, DET/det, *, NOUN/nmod)",enhanced_ud,0.000000,12.6591,3.7584e-04,-0.0391,0.390806
421,"ud__ADP(*, DET/fixed, NOUN/fixed)",enhanced_ud,0.011061,21.4549,3.6780e-06,-0.0509,0.390806
422,"ud__NUM(CCONJ/cc, *)",enhanced_ud,0.008181,7.2616,7.0587e-03,-0.0297,0.390579
423,"ud__NOUN(DET/det, PUNCT/punct, *, PUNCT/punct)",enhanced_ud,0.000000,48.7337,3.1590e-12,-0.0766,0.390302
424,"ud__ADV(CCONJ/cc, *)",enhanced_ud,0.000000,49.3688,2.2897e-12,-0.0771,0.390290
425,"ud__NOUN(PUNCT/punct, *, NOUN/nmod, PUNCT/punct)",enhanced_ud,0.016807,1.7024,1.9201e-01,-0.0144,0.389986
426,sage__tem_que,sage_terms,0.001460,104.9101,1.7904e-24,-0.1121,0.389944
427,"ud__PROPN(*, PUNCT/punct)",enhanced_ud,0.012123,9.8566,1.6982e-03,-0.0345,0.389736
428,liwc__swear (Swear),liwc,0.010027,79.8115,5.0139e-19,-0.0979,0.389697
429,"ud__PROPN(ADP/case, DET/det, *, PROPN/nmod)",enhanced_ud,0.008696,18.1636,2.0498e-05,-0.0469,0.389325
430,"ud__VERB(PRON/nsubj, *)",enhanced_ud,0.008612,41.1181,1.5118e-10,-0.0704,0.389286
431,"ud__NUM(PUNCT/punct, *)",enhanced_ud,0.006547,22.8637,1.7692e-06,-0.0526,0.388767
432,"ud__VERB(SCONJ/mark, NOUN/nsubj, *, NOUN/obl)",enhanced_ud,0.016967,0.9445,3.3116e-01,-0.0107,0.388661
433,"ud__VERB(*, PROPN/obl)",enhanced_ud,0.021864,1.1741,2.7858e-01,-0.0119,0.388114
434,"ud__NUM(ADP/case, DET/det, *)",enhanced_ud,0.007854,16.0574,6.1990e-05,-0.0441,0.388020
435,"ud__ADV(*, PROPN/obl)",enhanced_ud,0.005578,2.0146,1.5583e-01,-0.0156,0.387996
436,"ud__VERB(SCONJ/mark, *, VERB/xcomp)",enhanced_ud,0.009325,23.2822,1.4240e-06,-0.0531,0.387766
437,"ud__VERB(PUNCT/punct, ADV/advmod, *, NOUN/obj)",enhanced_ud,0.004337,1.1058,2.9303e-01,-0.0116,0.387675
438,liwc__you (You),liwc,0.091556,2.4036,1.2109e-01,-0.0171,0.387468
439,ud__*(NUM),enhanced_ud,0.000000,20.0575,7.6160e-06,-0.0493,0.386764
440,"ud__VERB(*, VERB/ccomp, PUNCT/punct)",enhanced_ud,0.010962,39.8369,2.9034e-10,-0.0693,0.386749
441,"ud__VERB(PRON/nsubj, *, NOUN/obj, PUNCT/punct)",enhanced_ud,0.004313,13.0032,3.1279e-04,-0.0397,0.386513
442,"ud__NOUN(PUNCT/punct, *, PROPN/nmod)",enhanced_ud,0.016907,5.6251,1.7728e-02,-0.0261,0.386385
443,"ud__VERB(*, PROPN/obj)",enhanced_ud,0.009246,6.8945,8.6622e-03,-0.0289,0.385351
444,"ud__NOUN(ADP/case, DET/det, *, PRON/nmod)",enhanced_ud,0.000000,41.7402,1.1015e-10,-0.0710,0.384999
445,"ud__VERB(ADP/mark, *, NOUN/obj, PUNCT/punct)",enhanced_ud,0.000000,11.5684,6.7402e-04,-0.0374,0.384708
446,"ud__NOUN(ADP/case, PUNCT/punct, *, PUNCT/punct)",enhanced_ud,0.011677,9.2797,2.3243e-03,-0.0335,0.384212
447,"ud__VERB(PRON/obj, PRON/nsubj, *)",enhanced_ud,0.003231,14.7453,1.2397e-04,-0.0422,0.384135
448,"ud__VERB(*, NOUN/obl, NOUN/obl)",enhanced_ud,0.000000,16.3831,5.2218e-05,-0.0445,0.383796
449,"ud__NOUN(DET/det, DET/det, *, NOUN/nmod)",enhanced_ud,0.007289,16.1384,5.9401e-05,-0.0442,0.383438
450,"ud__VERB(PRON/nsubj, *, VERB/xcomp, PUNCT/punct)",enhanced_ud,0.007164,34.6827,4.0326e-09,-0.0647,0.383347
451,"ud__ADJ(ADP/case, *)",enhanced_ud,0.005514,18.3280,1.8806e-05,-0.0471,0.383237
452,"ud__NOUN(DET/det, *, NUM/nmod)",enhanced_ud,0.000000,4.7639,2.9091e-02,-0.0240,0.382449
453,"ud__ADV(*, ADP/fixed)",enhanced_ud,0.032425,1.5413,2.1446e-01,-0.0137,0.382168
454,"ud__NUM(ADP/case, *, PUNCT/punct)",enhanced_ud,0.002055,8.2608,4.0615e-03,-0.0316,0.381879
455,"ud__NOUN(PUNCT/punct, ADP/case, *, NOUN/nmod, PUNCT/punct)",enhanced_ud,0.010253,2.7851,9.5185e-02,-0.0184,0.381707
456,nilc__subjunctive_imperfect_ratio,nilc,0.015855,0.8583,3.5425e-01,-0.0102,0.381600
457,"ud__VERB(CCONJ/cc, ADV/advmod, *, NOUN/obj)",enhanced_ud,0.004098,9.7622,1.7875e-03,-0.0344,0.381199
458,"ud__VERB(PRON/obj, *, NOUN/obl)",enhanced_ud,0.000720,11.7408,6.1441e-04,-0.0377,0.380850
459,"ud__NOUN(ADP/case, DET/det, *, PROPN/nmod, PUNCT/punct)",enhanced_ud,0.011091,3.3526,6.7137e-02,-0.0202,0.380653
460,"ud__NOUN(PUNCT/punct, ADP/case, *)",enhanced_ud,0.001273,16.8831,4.0138e-05,-0.0452,0.380305
461,"ud__NOUN(*, VERB/acl)",enhanced_ud,0.032018,0.9921,3.1927e-01,-0.0110,0.380209
462,"ud__NOUN(ADP/case, DET/det, *, PROPN/nmod, NOUN/nmod)",enhanced_ud,0.016972,1.4811,2.2364e-01,-0.0134,0.380161
463,"ud__NOUN(ADP/case, DET/det, ADJ/amod, *, NUM/appos)",enhanced_ud,0.009520,5.3579,2.0652e-02,-0.0255,0.379819
464,"ud__VERB(ADV/advmod, *, NOUN/obj)",enhanced_ud,0.004071,1.0187,3.1286e-01,-0.0111,0.379594
465,"ud__NOUN(ADP/case, DET/det, *, VERB/acl, PUNCT/punct)",enhanced_ud,0.000893,26.5723,2.5975e-07,-0.0567,0.379089
466,"ud__VERB(PROPN/nsubj, *, NOUN/obj, NOUN/obl, PUNCT/punct)",enhanced_ud,0.020472,6.7823,9.2229e-03,-0.0287,0.378686
467,"ud__VERB(NOUN/nsubj:pass, AUX/aux:pass, *, NOUN/obl:agent, PUNCT/punct)",enhanced_ud,0.003791,0.7591,3.8365e-01,-0.0096,0.378678
468,"ud__NOUN(PUNCT/punct, ADP/case, DET/det, *, NOUN/nmod)",enhanced_ud,0.004187,1.1905,2.7527e-01,-0.0120,0.378545
469,"ud__VERB(ADP/mark, AUX/aux:pass, *)",enhanced_ud,0.012095,8.1756,4.2564e-03,-0.0315,0.378439
470,liwc__health (Health),liwc,0.064033,0.7475,3.8730e-01,-0.0095,0.378092
471,"ud__PROPN(PUNCT/punct, *)",enhanced_ud,0.003324,1.9133,1.6664e-01,-0.0152,0.377917
472,"ud__VERB(ADP/mark, PRON/expl, *, NOUN/obl)",enhanced_ud,0.000000,9.4451,2.1241e-03,-0.0338,0.377422
473,"ud__NOUN(PUNCT/punct, DET/det, *, NOUN/nmod)",enhanced_ud,0.001004,15.7005,7.4829e-05,-0.0436,0.377382
474,"ud__NOUN(ADV/advmod, DET/det, *)",enhanced_ud,0.005499,0.7666,3.8129e-01,-0.0096,0.376562
475,"ud__VERB(PRON/expl, *, NOUN/obl)",enhanced_ud,0.001377,24.3741,8.0882e-07,-0.0543,0.376236
476,"ud__VERB(PROPN/nsubj, *, NOUN/obj, VERB/conj, PUNCT/punct)",enhanced_ud,0.012522,0.4707,4.9271e-01,-0.0076,0.375968
477,"ud__VERB(ADV/advmod, *, NOUN/obj, PUNCT/punct)",enhanced_ud,0.006915,4.9113,2.6709e-02,-0.0244,0.375947
478,"ud__NOUN(DET/det, *, VERB/acl:relcl)",enhanced_ud,0.040595,0.7462,3.8771e-01,-0.0095,0.375735
479,"ud__NOUN(ADP/case, DET/det, ADJ/amod, *, PUNCT/punct)",enhanced_ud,0.003015,4.1875,4.0755e-02,-0.0225,0.375670
480,"ud__NOUN(*, NOUN/conj, NOUN/conj)",enhanced_ud,0.008709,8.6103,3.3519e-03,-0.0323,0.375513
481,"ud__NOUN(PUNCT/punct, *, VERB/acl:relcl)",enhanced_ud,0.014124,4.8182,2.8188e-02,-0.0242,0.375440
482,sage__bit_ly,sage_terms,0.002360,32.8825,1.0135e-08,-0.0630,0.375368
483,"ud__VERB(CCONJ/cc, *, NOUN/obj, VERB/advcl)",enhanced_ud,0.012349,1.7555,1.8522e-01,-0.0146,0.375355
484,"ud__NOUN(PUNCT/punct, ADP/case, DET/det, *, PROPN/nmod)",enhanced_ud,0.000000,7.1672,7.4396e-03,-0.0295,0.375141
485,"ud__NOUN(DET/det, ADJ/amod, *, VERB/acl:relcl)",enhanced_ud,0.000000,2.0803,1.4925e-01,-0.0159,0.374548
486,"ud__VERB(SCONJ/mark, ADV/advmod, *, NOUN/obj)",enhanced_ud,0.006336,0.5367,4.6381e-01,-0.0081,0.374097
487,"ud__PROPN(*, PROPN/conj)",enhanced_ud,0.020382,0.5652,4.5221e-01,-0.0083,0.374068
488,"ud__VERB(PRON/nsubj, *, VERB/ccomp, PUNCT/punct)",enhanced_ud,0.012446,0.9247,3.3628e-01,-0.0106,0.373739
489,"ud__PROPN(DET/det, *, PROPN/nmod)",enhanced_ud,0.014371,7.3666,6.6584e-03,-0.0299,0.373582
490,"ud__VERB(*, NOUN/obj)",enhanced_ud,0.059905,0.8585,3.5420e-01,-0.0102,0.372999
491,"ud__VERB(NOUN/obl, NOUN/nsubj, *, VERB/xcomp, PUNCT/punct)",enhanced_ud,0.002711,0.4100,5.2199e-01,-0.0071,0.372307
492,"ud__VERB(SCONJ/mark, PRON/nsubj, *, NOUN/obj)",enhanced_ud,0.009665,5.8889,1.5258e-02,-0.0267,0.372248
493,"ud__VERB(NOUN/nsubj, *, NOUN/obl, VERB/conj, PUNCT/punct)",enhanced_ud,0.000000,5.7057,1.6932e-02,-0.0263,0.372171
494,liwc__shehe (SheHe),liwc,0.090648,1.4502,2.2854e-01,0.0133,0.372157
495,nilc__adverbs_min,nilc,0.003991,20.6884,5.4815e-06,-0.0500,0.372157
496,"ud__NOUN(NUM/nummod, *, ADJ/amod)",enhanced_ud,0.000000,3.9742,4.6236e-02,-0.0219,0.372082
497,"ud__SYM(NUM/nummod, *, NOUN/nmod)",enhanced_ud,0.014640,1.5692,2.1037e-01,-0.0138,0.371746
498,"ud__NOUN(CCONJ/cc, ADP/case, *)",enhanced_ud,0.009161,1.0587,3.0355e-01,-0.0113,0.371050
499,"ud__NUM(*, NUM/flat)",enhanced_ud,0.006361,0.4829,4.8711e-01,-0.0077,0.370854
